Component,Function,FailureModes,Effects,Severity,DetectionControl,RequirementIDs,CyberRisks
admin,Addr,Incorrect output,Incorrect system behavior,low,unit tests,,
admin,Close,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
admin,New,Returns unexpected error; Goroutine not terminated,Silent failure propagated to caller; Memory leak or deadlock,medium,unit tests,,
cdr,Bytes,Incorrect output,Incorrect system behavior,low,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,Len,Incorrect output,Incorrect system behavior,low,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,NewDecoder,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,NewEncoder,Incorrect output,Incorrect system behavior,low,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,ReadBool,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,ReadBytes,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
cdr,ReadFloat32,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: byte(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: int32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
